rpm_variation,harsh_braking_count,idling_time,fuel_consumption,acceleration_smoothness,eco_score
1366,1,12.8,7.49,1.0,69.6
2469,6,4.6,9.71,0.74,22.5
1092,2,10.4,5.97,0.74,65.4
2561,3,10.4,8.33,0.3,23.6
2034,2,13.5,8.65,0.39,28.9
2162,3,18.7,9.74,0.63,27.4
1620,3,12.3,7.85,0.41,36.2
1359,1,11.4,8.92,0.76,60.4
2823,1,10.6,8.56,0.75,40.9
1627,1,3.2,7.89,0.67,58.0
1512,4,10.1,8.84,0.46,28.7
1743,2,19.6,9.4,0.54,28.9
1935,3,8.3,8.73,0.62,33.9
1078,3,15.9,6.76,0.79,71.4
1404,5,8.2,8.48,0.66,38.0
1367,6,11.2,9.13,0.47,23.4
2391,5,14.5,10.72,0.69,21.0
1179,5,15.1,8.65,0.49,31.8
570,1,4.4,6.87,0.68,79.3
500,3,1.0,5.91,0.52,64.5
770,2,17.2,8.08,0.71,64.0
2753,3,7.4,9.29,0.77,36.7
1811,4,13.9,8.51,0.76,44.2
2150,4,10.9,9.85,0.66,32.0
2175,7,13.0,12.07,0.9,8.7
1839,2,7.7,6.17,0.75,61.2
1747,2,13.7,6.57,0.66,57.4
2531,3,14.2,8.45,0.62,37.7
1902,3,19.5,7.13,0.82,52.7
2779,5,9.8,9.47,0.65,21.8
2234,2,8.6,5.67,0.62,55.9
1367,1,6.8,7.36,0.64,71.4
1452,1,17.5,8.19,0.69,50.5
1290,2,5.0,5.24,0.63,70.5
2652,1,19.8,7.86,0.77,45.2
1516,4,11.1,8.55,0.57,33.6
1241,2,11.1,6.71,0.76,64.6
2023,4,11.2,9.14,0.82,38.2
1731,2,17.1,5.92,0.47,46.8
2006,3,4.4,7.22,0.6,49.9
3122,6,18.5,11.51,0.38,0.0
2439,2,6.2,7.05,0.79,60.3
1818,2,4.2,8.52,0.84,62.1
814,4,14.7,9.09,0.83,41.4
1450,5,16.2,9.25,0.64,28.9
2297,3,12.5,8.23,0.7,40.7
980,2,19.0,9.3,0.79,54.3
3298,3,18.5,7.87,0.82,38.1
1810,1,5.4,6.89,0.49,60.8
1834,5,19.7,9.38,0.72,33.8
1333,1,5.8,5.95,0.52,61.8
2147,3,13.5,9.16,0.64,34.2
989,4,7.6,7.68,0.67,55.1
3315,4,13.4,11.19,0.78,14.1
2722,4,8.3,8.98,0.69,31.8
2489,1,17.7,6.38,0.81,57.7
826,3,5.5,8.36,0.67,47.4
1943,9,21.6,9.08,0.37,0.0
2646,5,3.8,5.95,0.41,40.9
2215,5,9.4,7.56,0.68,35.9
1098,1,15.6,8.79,0.61,56.6
1344,2,13.8,7.27,0.8,58.6
1483,2,5.4,8.17,0.71,54.4
1377,1,10.0,7.76,0.73,63.1
2870,9,17.9,10.94,0.44,0.0
500,2,4.7,6.47,0.68,81.2
2259,1,10.1,8.28,0.61,43.7
895,4,2.0,9.33,0.94,55.1
1127,2,7.9,7.12,0.92,72.6
500,0,18.1,5.43,0.82,79.6
1415,3,8.1,7.22,0.43,48.4
2857,6,13.6,11.63,0.63,0.0
1985,1,13.0,6.59,0.74,72.1
961,2,11.8,8.4,0.77,55.0
2512,6,5.7,7.71,0.77,32.7
2661,2,4.9,9.3,0.63,32.7
1872,4,13.8,8.7,0.56,37.0
3224,2,3.0,9.59,0.84,38.8
2375,3,19.4,7.07,0.83,51.1
2277,2,11.0,7.0,0.72,53.6
1237,2,9.5,7.38,0.9,64.7
2239,1,14.5,6.56,0.43,50.4
1951,4,14.9,8.34,0.7,41.3
2163,2,13.5,10.23,0.73,39.2
1320,6,6.3,7.44,0.77,45.8
1889,2,12.7,8.29,0.53,39.1
1228,4,13.9,10.75,0.8,32.4
500,1,7.3,6.99,0.63,76.2
2498,3,5.3,8.04,0.64,41.6
748,1,12.8,6.83,0.6,72.9
1875,1,1.6,7.55,0.52,56.5
2033,2,15.7,10.52,0.8,40.5
2028,1,8.8,6.7,0.65,62.1
1601,0,7.5,7.16,0.62,65.4
1989,2,7.9,9.61,0.56,35.4
2129,5,9.7,10.11,0.58,16.4
2314,5,9.6,11.42,0.66,18.4
3013,5,6.0,7.5,0.83,41.9
1963,5,15.0,8.71,0.31,15.9
1844,2,4.8,6.23,0.66,75.8
1165,4,13.1,8.62,0.68,42.1
2105,3,5.6,8.73,0.6,44.5
2267,1,9.1,6.76,0.91,62.5
1665,1,10.0,5.85,0.68,66.8
2181,2,8.4,6.0,0.68,61.8
1595,3,23.4,7.45,0.5,32.9
2269,4,6.5,10.28,0.7,31.9
2438,4,11.6,7.67,0.61,27.6
2429,3,6.1,10.31,0.82,41.5
1882,3,11.6,9.42,0.54,35.6
1072,1,3.8,3.83,0.75,75.0
1371,1,10.4,6.1,0.78,65.1
2216,4,12.6,6.35,0.72,59.7
3514,4,20.6,8.83,0.69,8.4
1561,1,16.3,6.98,0.99,67.7
2119,4,18.4,10.3,0.2,10.1
1410,0,8.9,7.48,0.74,64.2
1118,1,9.8,8.16,0.61,57.3
1326,3,11.9,7.66,0.47,48.8
500,2,4.6,7.96,0.77,67.6
2747,2,14.7,10.35,0.81,37.0
500,3,19.2,6.89,0.97,71.9
1615,4,14.8,10.0,0.79,36.5
975,0,0.4,7.04,0.6,79.9
1180,1,7.6,6.38,0.46,66.7
2763,6,10.9,9.71,0.61,18.7
1940,0,6.4,5.59,0.78,69.4
1124,1,9.5,5.1,0.72,83.9
1387,3,17.8,7.24,0.64,50.7
1264,3,2.7,7.52,0.64,55.8
1769,3,5.5,7.84,0.55,46.3
1921,3,5.7,6.95,0.74,59.7
3126,3,6.1,7.16,0.56,39.5
500,2,10.1,7.23,0.83,68.8
1775,2,13.6,7.26,0.74,57.5
1579,1,8.8,4.05,0.56,70.6
2462,3,7.3,8.01,0.54,33.7
2048,3,14.4,9.25,0.4,27.0
2213,0,16.1,7.87,0.99,72.4
2041,4,10.8,8.66,0.44,33.9
1147,2,15.8,7.83,0.57,46.6
2647,3,13.3,9.0,0.69,39.6
2358,2,14.2,7.99,1.0,60.4
2440,2,18.4,8.88,0.71,25.1
2684,6,16.8,9.63,0.5,12.6
2092,1,8.3,7.71,0.79,50.2
2836,4,11.3,7.64,0.5,27.9
2064,1,16.2,8.63,0.43,34.3
1646,5,6.3,7.5,1.0,55.5
1795,3,11.1,9.08,0.63,39.4
1783,5,17.2,10.3,0.56,20.8
1436,2,14.0,9.09,0.81,54.7
2942,1,0.0,9.44,0.49,38.3
2007,3,11.7,8.69,0.72,41.4
1866,6,12.3,8.23,0.4,18.8
2071,2,16.7,10.2,0.72,34.7
3885,7,16.6,12.21,0.44,0.0
1007,2,11.3,7.7,0.71,61.4
1208,2,6.9,4.51,0.47,66.2
833,2,8.8,6.34,0.55,67.6
1637,1,15.3,8.76,0.72,61.0
1971,3,21.4,8.23,0.72,45.0
1474,2,14.1,9.93,0.71,47.0
1422,4,12.4,7.37,0.38,24.2
1899,3,8.0,8.27,0.81,50.5
1448,4,13.7,7.82,0.73,39.8
2017,3,11.0,8.48,0.48,37.8
2579,5,10.4,9.43,0.61,20.5
2273,1,5.7,7.76,0.59,52.9
2416,4,23.4,10.41,0.26,3.6
2560,4,19.7,10.47,0.65,13.0
1997,3,17.4,8.61,0.9,43.4
1688,4,12.8,6.96,0.55,41.4
1259,1,10.2,5.69,0.84,74.8
1526,5,21.6,8.53,0.7,43.9
1433,2,9.4,8.12,0.81,58.1
2312,4,6.9,7.54,0.54,29.6
2042,2,5.5,6.7,0.78,61.4
2287,4,15.1,8.95,0.63,28.0
987,4,22.5,9.38,0.67,37.9
2802,3,22.5,9.29,0.38,16.8
1501,1,14.9,7.05,0.62,60.8
1029,3,13.8,6.89,0.68,55.5
1492,2,18.5,6.57,0.72,57.6
3538,5,15.1,10.96,0.36,0.0
1528,1,13.4,5.58,1.0,72.3
1572,6,30.9,8.23,0.59,10.7
1665,2,6.9,7.72,0.68,65.5
1695,2,7.5,8.24,0.68,52.1
1252,3,6.3,6.67,0.59,59.6
1900,3,14.4,7.03,0.59,46.2
2552,2,14.4,9.66,0.49,25.1
2020,2,8.2,5.96,0.81,75.1
1022,4,15.4,7.1,0.58,48.2
1558,8,20.0,11.07,0.69,6.5
1413,4,17.5,8.94,0.47,33.5
1837,1,6.5,5.67,0.95,84.8
2731,1,9.1,8.11,0.66,43.4
1695,2,12.2,4.27,0.84,74.3
1738,2,7.7,7.97,0.62,51.7
3044,1,5.7,8.08,0.53,32.1
2413,1,14.0,9.59,0.69,35.6
2201,4,10.4,12.1,0.56,12.2
3170,0,10.2,7.81,0.87,54.0
2142,2,1.9,7.64,0.76,55.6
500,1,11.6,6.71,0.75,69.0
2382,1,9.8,8.73,1.0,57.8
685,1,6.4,7.08,0.68,73.7
2116,3,19.0,7.4,0.55,41.9
600,1,10.4,5.54,0.51,69.7
1473,5,11.4,7.3,0.43,44.2
1545,1,7.2,7.23,0.66,67.0
1260,0,4.4,6.3,0.78,83.4
1555,4,10.9,9.49,0.7,34.0
2522,3,9.5,8.98,0.62,30.2
1300,4,8.1,7.47,0.82,50.1
2181,3,10.5,5.79,0.56,49.8
1124,2,9.9,7.14,0.79,65.3
1667,3,7.3,7.94,0.22,33.8
2026,3,18.9,9.77,0.61,27.5
1102,4,9.8,7.06,0.68,52.7
881,4,13.3,9.5,0.98,53.2
2144,5,22.0,8.76,0.73,29.2
2586,3,11.0,9.06,0.35,20.3
1744,2,5.4,8.31,0.82,57.1
1479,1,9.4,8.06,0.83,62.5
1908,1,12.6,7.48,0.85,56.3
1838,4,6.6,6.46,0.8,56.2
1970,1,6.9,7.14,0.71,65.4
500,0,7.8,4.56,0.75,100.0
1051,4,13.4,9.58,0.37,41.6
1208,2,6.6,6.67,0.77,69.4
1905,4,5.6,8.35,0.55,39.7
1930,3,8.7,8.01,0.55,45.0
2245,3,12.4,6.1,0.51,40.3
1980,4,17.9,8.64,0.39,24.5
889,0,0.0,5.85,0.72,92.1
2812,2,9.7,10.27,0.93,31.1
2690,3,19.8,10.81,0.64,25.9
919,2,24.1,7.29,0.59,51.8
2032,1,0.0,6.46,0.72,70.8
1383,6,17.8,7.76,0.58,34.1
1897,3,9.2,7.49,0.77,56.4
2537,6,12.1,10.6,0.53,17.2
3291,2,14.3,7.57,0.52,39.0
2325,0,6.0,6.12,0.69,63.6
2006,2,18.9,7.91,0.75,49.8
1562,5,14.2,7.45,0.43,31.5
1927,4,15.5,9.36,0.5,29.6
2751,6,14.2,9.7,0.82,20.3
1768,4,22.8,10.06,0.64,27.4
1179,4,5.8,8.64,0.76,58.7
666,2,10.8,5.82,0.41,61.7
2159,4,8.7,9.52,0.69,34.8
1973,3,5.4,6.23,0.54,52.2
1347,2,7.3,8.24,0.64,54.8
2518,2,9.0,7.63,0.54,32.4
1504,5,11.8,8.06,0.51,22.6
1705,1,10.2,7.62,0.77,62.1
1788,3,0.5,8.02,0.86,59.7
1554,3,17.4,6.41,0.72,60.0
1965,1,19.1,8.04,0.8,51.3
2606,3,10.6,9.1,0.59,43.8
1000,4,16.6,8.46,0.52,41.9
2141,3,12.5,8.92,0.9,41.2
1920,3,1.4,8.75,0.72,51.9
1907,3,7.0,6.81,0.76,51.1
2410,5,7.1,7.86,0.73,36.2
1834,3,9.9,8.11,0.76,40.0
2136,5,24.3,8.6,0.58,13.8
2301,2,6.0,7.09,0.66,58.2
1446,6,12.5,10.29,0.44,22.8
2009,3,12.9,8.08,0.52,38.7
1624,4,10.6,8.35,0.67,38.7
1707,3,15.2,10.24,0.43,27.7
1574,2,15.2,8.04,0.82,57.0
2129,6,18.4,11.23,0.72,12.7
1857,4,5.0,9.5,0.66,20.7
2076,1,6.7,6.71,0.78,60.5
1787,2,8.8,6.79,0.52,51.2
677,2,5.6,7.21,0.89,77.8
1821,1,10.7,8.37,0.68,58.6
1844,1,14.1,6.01,0.87,72.7
1969,4,14.3,8.79,0.76,32.9
1384,1,4.3,7.01,0.49,66.1
963,2,13.3,7.14,0.72,69.4
2237,1,12.8,6.45,0.82,62.2
1608,3,13.9,8.22,0.66,47.7
1919,3,15.6,6.13,0.61,49.5
1602,0,8.7,6.7,0.6,63.3
1795,2,19.7,9.49,0.5,34.6
1485,1,7.6,4.84,0.78,80.5
1122,6,7.9,9.04,0.56,32.6
2131,3,6.4,8.51,0.98,53.5
1377,1,17.6,7.45,0.61,60.9
1914,1,14.1,7.67,0.83,57.9
2087,2,7.8,7.18,0.59,52.1
1389,1,12.1,9.01,0.72,63.1
957,4,10.0,8.23,0.43,32.3
3498,2,3.7,8.78,0.95,41.0
1430,3,14.8,7.47,0.38,45.3
2236,4,16.5,8.33,0.7,35.3
3157,3,13.8,8.15,0.79,30.0
2352,4,8.2,9.28,0.75,36.8
1589,2,5.5,7.79,0.94,76.6
1753,4,13.8,7.96,0.64,43.6
1217,3,9.5,8.27,0.76,53.7
2417,4,13.5,8.27,0.68,37.7
2196,2,22.9,7.31,0.8,56.5
1439,0,16.1,6.54,0.86,65.6
1070,3,14.8,6.68,0.46,55.1
875,3,15.5,6.75,0.72,63.2
2490,0,8.8,6.58,0.89,74.9
1884,0,11.1,5.84,0.8,83.0
1950,5,7.4,8.27,0.59,32.3
1223,2,12.2,8.49,0.97,61.0
775,3,10.4,8.7,0.82,59.0
2473,1,10.7,7.44,0.69,49.7
1829,2,12.7,8.6,0.53,37.1
2435,0,2.2,6.59,0.64,59.3
1529,5,7.7,7.8,0.58,35.9
1634,7,14.5,8.15,0.56,19.8
2299,3,11.6,8.8,0.5,29.1
2312,3,8.3,9.79,0.5,31.2
2358,2,24.8,9.77,0.96,31.8
1593,0,13.7,8.17,0.68,55.3
2230,4,6.6,7.66,0.83,40.7
2576,4,12.6,8.4,0.72,37.8
1726,3,11.0,8.97,0.69,38.5
1440,4,15.4,8.0,0.83,49.3
2739,7,11.4,10.28,0.54,2.9
1341,3,10.9,8.58,0.6,47.9
2240,3,3.5,8.5,0.93,52.4
1759,3,9.2,5.94,0.61,49.3
510,7,12.6,11.7,0.63,26.3
2590,2,9.4,9.15,0.72,40.2
500,3,19.3,6.3,0.6,64.4
500,1,13.0,7.43,0.71,63.3
2169,4,10.2,7.9,0.87,48.4
2168,3,10.4,8.7,0.31,22.7
1353,5,10.1,9.65,0.74,43.1
1903,0,11.5,5.72,0.67,72.4
500,2,4.5,6.57,0.82,90.4
2294,4,17.5,10.18,1.0,39.0
1974,5,20.6,13.07,0.5,0.0
1768,4,10.0,8.11,0.75,46.4
1814,5,12.4,7.3,0.6,43.4
2145,0,10.1,6.0,0.82,68.8
1779,2,4.1,9.0,0.76,52.1
500,4,11.1,8.22,0.64,55.7
3337,0,9.4,7.68,0.44,37.3
2640,1,2.7,9.45,0.79,48.0
900,1,5.4,6.01,0.7,81.0
1558,4,12.7,9.31,0.71,41.8
1634,2,3.8,6.59,0.86,76.7
2555,6,24.3,9.95,0.63,10.9
500,3,7.6,7.23,0.62,64.0
1450,3,15.5,6.76,0.39,55.3
567,1,9.2,5.17,0.59,80.0
1600,2,8.2,7.23,0.79,61.2
1469,0,12.1,6.28,0.79,80.1
1855,0,14.5,8.28,0.89,64.9
1376,4,19.3,7.35,0.7,47.0
1274,3,19.2,9.29,0.7,41.5
2233,0,16.4,7.56,0.7,58.2
2118,3,1.9,7.31,0.69,56.1
2185,1,16.6,8.13,0.69,45.0
1676,2,7.5,7.79,0.7,57.2
1399,3,15.3,7.33,0.49,51.4
1716,2,9.8,7.76,0.9,63.1
2150,6,13.7,9.35,0.53,22.7
500,1,13.0,7.2,0.38,60.4
2075,3,12.4,9.89,0.51,26.0
2016,2,6.6,6.53,0.64,60.5
1843,7,22.9,9.71,0.68,13.3
1695,1,9.5,7.23,0.81,65.3
500,0,7.9,7.48,0.84,84.2
1492,3,17.2,7.07,0.28,48.9
3052,5,12.8,10.4,0.66,16.0
1809,4,8.8,6.34,0.72,60.8
1584,2,3.9,8.32,0.42,49.5
1811,2,15.1,9.48,0.57,46.4
2048,3,7.0,7.86,0.88,56.0
2261,2,21.9,8.06,0.71,47.6
1639,2,17.5,7.73,0.76,52.9
2097,3,15.1,9.39,0.5,29.2
2973,4,3.3,6.87,0.88,44.2
2504,2,8.1,9.42,0.72,36.9
3438,2,9.4,7.7,0.86,45.4
1340,0,1.6,8.65,0.64,65.8
2973,3,14.0,8.45,0.56,25.9
1246,0,5.5,5.33,0.81,80.6
2047,3,21.2,8.98,0.86,39.9
2312,3,6.9,8.6,0.73,37.7
1442,4,22.7,8.65,0.53,32.0
1861,2,4.9,5.42,0.55,63.4
2437,1,4.9,6.88,0.71,53.1
1302,4,18.1,10.48,0.65,25.0
2968,3,16.5,11.77,0.66,14.2
830,1,7.9,10.08,0.6,49.5
3157,0,6.9,7.41,0.6,47.7
2500,3,8.3,9.59,0.65,48.8
1737,4,10.3,8.36,0.44,43.5
1518,1,14.4,7.63,0.8,57.5
1445,2,16.6,8.64,0.75,45.9
1704,2,16.5,8.73,0.84,51.3
1766,1,13.9,7.84,1.0,66.5
2678,7,20.7,11.1,0.47,0.0
3178,1,12.8,8.49,0.5,37.8
1939,2,1.9,8.71,0.6,51.3
1208,0,1.7,5.21,0.7,85.6
1417,0,4.1,5.82,0.9,79.1
1671,4,9.2,7.84,0.56,46.8
1078,3,25.0,8.94,0.8,47.2
974,2,23.2,8.87,0.61,52.4
3267,3,11.0,7.99,0.7,39.9
2011,4,5.1,5.88,0.55,47.4
1216,5,3.5,10.37,0.28,18.4
2371,3,14.7,8.72,0.46,36.3
975,4,16.7,9.46,0.43,39.6
1032,2,13.9,6.73,0.61,60.6
1237,1,11.4,6.88,0.94,73.7
2958,1,3.8,7.93,0.75,48.4
1622,3,12.8,8.02,0.58,46.3
500,0,15.9,5.96,0.81,72.2
2647,1,0.0,7.12,0.96,69.6
1585,0,1.6,5.35,0.38,78.3
505,0,5.6,5.8,0.76,90.4
1578,3,16.9,6.81,0.47,50.7
2164,4,7.8,8.13,0.83,39.9
2082,1,17.3,7.58,0.77,58.4
3058,5,16.1,9.73,0.38,2.6
1203,3,7.5,6.9,0.66,58.5
1832,0,8.3,5.87,0.75,81.8
1310,2,12.3,7.34,0.87,66.2
720,2,10.9,7.11,0.78,76.5
2419,4,17.4,9.26,0.66,30.2
2124,6,17.7,9.77,0.58,16.7
1998,4,0.6,7.67,0.78,51.4
2098,2,13.0,7.28,0.84,54.8
1320,3,9.2,9.12,0.56,39.0
1096,5,15.4,10.39,0.69,39.0
1826,2,12.2,7.9,0.56,48.4
2612,2,5.9,8.27,0.84,54.6
2925,4,9.2,10.45,0.73,23.8
2356,3,12.4,7.63,0.59,33.6
1820,1,7.6,5.94,0.77,67.1
1988,3,15.7,7.49,0.59,56.4
1808,3,19.4,11.31,0.36,10.4
1081,2,14.6,7.64,0.89,62.3
1817,5,18.6,9.01,0.39,15.9
865,3,7.8,9.19,0.45,47.0
1713,1,12.2,9.73,0.78,46.6
2945,4,22.5,8.81,0.62,26.5
2376,3,6.6,6.6,0.61,51.4
1153,4,6.3,7.78,0.67,53.3
1749,2,12.9,6.96,0.67,51.4
1215,2,23.8,8.12,0.52,37.3
1756,1,1.7,9.37,0.83,63.1
2528,5,9.9,9.41,0.7,28.3
2257,1,3.6,6.18,0.74,78.7
3538,4,11.9,7.68,0.59,28.7
2634,4,24.6,8.97,0.69,17.1
1942,0,10.9,6.85,0.77,61.8
2274,6,13.0,7.9,0.66,26.7
1658,6,15.8,8.28,0.4,20.8
1010,3,11.7,5.47,0.41,56.2
2714,1,17.6,9.02,0.84,50.6
2506,2,0.0,7.67,0.78,51.1
1631,2,8.9,8.82,0.69,50.3
1991,3,8.1,5.94,0.72,56.1
2668,3,12.9,8.95,0.5,28.3
2392,5,16.7,9.52,0.5,14.5
775,2,11.2,3.89,0.75,74.8
1970,6,13.6,9.04,0.45,8.4
1682,3,18.0,8.5,0.54,33.8
2579,2,9.6,6.89,0.22,31.6
2521,5,14.5,6.85,0.53,30.9
2723,2,10.5,9.3,0.61,26.7
1017,1,15.0,5.65,0.76,70.0
1251,2,5.8,9.56,0.69,55.7
2579,2,9.9,7.11,0.63,49.5
1385,3,1.2,9.27,0.62,38.4
734,2,10.9,7.44,0.58,56.6
2172,1,14.8,9.01,0.81,46.3
1416,3,18.0,10.73,0.69,38.5
3052,4,15.7,8.78,0.46,12.1
2007,3,15.1,9.8,0.69,30.9
1912,3,14.3,7.51,0.82,49.1
1541,3,18.1,9.88,0.63,40.4
2913,1,20.4,8.55,0.84,41.7
2050,2,9.7,8.74,0.85,50.0
1514,4,7.5,9.11,0.42,31.5
1244,0,3.3,6.64,0.83,80.9
1748,2,4.7,8.45,0.61,48.1
1115,1,13.1,6.05,0.73,81.0
2520,6,27.2,9.08,0.46,5.0
534,1,12.9,7.44,0.71,68.1
1702,2,7.0,8.1,0.56,39.3
2227,5,18.1,10.34,0.5,9.3
2039,2,9.3,8.65,0.52,42.3
1297,2,17.5,8.95,0.75,52.7
2262,3,11.2,8.75,0.82,43.7
1179,3,13.3,8.35,0.49,41.3
1784,2,2.4,9.66,0.95,60.6
2256,3,10.9,8.81,0.56,29.4
2124,3,1.3,6.73,0.64,47.1
1327,1,8.6,5.81,0.61,65.4
2638,1,5.5,8.12,0.85,54.7
1860,2,19.6,8.32,0.72,52.4
2320,4,17.3,8.95,0.66,25.5
2870,4,11.3,8.79,0.51,20.5
2582,3,11.7,8.44,0.69,40.0
2584,1,16.1,7.39,0.81,54.9
1934,4,2.8,7.08,0.6,56.3
2355,3,12.8,8.15,0.7,43.0
1949,2,5.3,6.15,0.68,58.7
953,5,20.6,8.03,0.72,35.8
2011,6,12.8,9.38,0.34,9.3
1979,3,12.1,8.1,0.57,37.4
2208,1,12.6,7.87,0.6,48.1
1710,3,18.5,9.89,0.68,36.2
1266,6,18.1,8.73,0.29,22.6
2259,2,21.0,9.03,0.47,31.0
880,4,9.5,10.22,0.91,54.2
2821,5,14.9,7.35,0.53,28.3
1638,3,11.8,7.72,0.43,39.4
1971,3,2.6,8.69,0.7,43.8
2190,3,8.8,9.02,0.92,50.3
2213,2,11.2,6.47,0.73,48.8
813,2,0.0,6.87,0.65,75.2
2376,3,5.7,10.18,0.7,30.9
2012,1,9.4,8.34,0.82,65.7
1355,2,6.8,7.82,0.64,57.4
1275,2,10.3,8.41,0.65,55.9
1566,1,19.2,7.64,0.77,60.5
890,2,8.0,8.03,0.71,58.0
3005,2,9.1,6.91,0.29,27.3
2840,4,8.2,9.45,0.74,28.2
2116,2,19.5,9.11,0.84,34.2
1643,2,8.3,7.4,0.69,62.3
1662,1,13.4,6.62,0.85,76.1
2330,2,8.5,7.84,0.62,51.0
3030,3,12.3,8.85,0.64,19.6
1400,2,14.7,7.94,0.63,54.2
1017,4,8.2,7.74,0.64,61.6
2883,3,11.9,10.86,0.5,17.1
549,0,7.9,4.83,0.88,100.0
1094,1,5.6,6.38,0.86,91.3
1627,2,10.8,8.51,0.93,63.7
707,1,19.4,6.17,0.79,75.4
2578,4,17.3,9.09,0.61,24.8
2399,4,9.2,8.53,0.65,34.1
1397,3,15.4,9.61,0.75,55.4
2695,5,17.6,10.87,0.6,8.3
2814,1,4.4,7.48,0.89,63.8
1720,2,10.5,6.96,0.85,62.8
1484,4,12.4,8.09,0.31,29.5
3381,6,13.2,11.06,0.55,0.0
2304,1,15.3,6.55,0.68,53.3
1979,5,7.1,9.6,0.38,29.5
2754,2,1.1,7.18,0.81,62.9
2011,5,20.3,9.65,0.61,19.8
1446,1,5.2,7.24,0.67,65.2
1856,1,16.0,8.65,0.67,40.8
2527,2,8.0,11.12,0.75,28.8
500,4,9.8,9.3,0.65,44.7
1598,1,13.9,6.22,0.95,79.5
2768,1,13.5,9.67,0.98,49.3
1441,4,11.3,8.32,0.42,36.5
2882,2,15.9,5.52,0.69,56.8
2790,0,6.5,8.63,0.68,43.3
1754,4,17.3,6.92,0.67,44.1
1402,4,13.0,8.3,0.53,32.7
1598,2,12.2,7.25,0.93,64.9
3665,1,10.3,11.07,0.93,36.2
3112,1,2.4,8.46,0.8,45.7
1887,2,8.8,7.33,0.61,44.1
1374,3,8.7,6.97,0.53,51.7
1881,3,18.7,8.55,0.84,41.9
1970,3,5.9,6.26,0.49,44.9
929,1,11.0,6.66,0.76,75.1
1856,0,2.9,4.75,0.73,77.8
2725,2,3.9,8.14,0.56,35.3
540,4,17.4,8.75,0.63,50.0
2378,6,16.4,10.84,0.5,5.9
2762,5,12.0,9.84,0.58,24.7
1407,3,9.8,7.71,0.47,53.1
2985,7,16.8,9.28,0.29,0.0
1316,1,13.8,7.41,0.89,71.5
2108,5,6.9,9.39,0.61,24.9
1585,0,11.3,6.95,0.69,69.1
1585,1,13.6,6.38,0.84,70.0
1367,1,15.7,7.81,0.72,58.2
2289,4,11.7,10.58,0.44,16.3
2394,1,5.3,5.57,0.47,40.0
1754,6,21.0,10.31,0.53,16.7
848,3,18.0,7.43,0.7,63.5
2082,2,4.3,6.81,0.66,48.6
2095,6,23.3,13.03,0.32,0.0
1648,5,9.7,8.78,0.48,38.0
3107,3,17.6,10.32,0.6,8.7
705,3,13.2,8.8,0.92,64.0
500,3,12.4,6.3,0.83,75.1
1288,5,9.2,8.38,0.65,31.0
2297,4,16.1,6.58,0.67,32.5
1060,2,14.6,7.69,0.73,68.7
1113,6,14.0,8.09,0.76,45.1
2465,5,8.2,9.71,0.35,19.2
2123,2,1.2,9.02,0.79,51.8
2063,3,16.1,7.38,0.63,45.2
2347,2,4.2,6.81,0.78,56.1
1502,4,6.0,6.79,0.66,52.5
1534,3,7.3,8.66,0.63,41.4
2366,5,16.2,10.75,0.6,12.7
858,2,19.9,6.23,0.69,69.8
500,4,11.3,5.81,0.53,64.8
1496,2,6.3,6.37,0.67,70.9
2451,2,13.3,6.5,0.47,53.2
1978,1,2.3,5.41,0.63,69.1
2400,3,6.4,9.88,0.62,39.6
500,1,9.8,7.32,0.68,71.2
2020,6,23.3,8.53,0.61,17.5
2257,0,12.4,8.6,0.62,48.2
854,3,23.5,8.61,0.58,39.2
2403,3,8.7,8.75,0.74,47.8
1721,1,10.6,5.87,0.91,84.6
3949,2,0.0,7.58,0.84,51.4
500,2,10.3,7.23,0.67,67.0
2758,5,12.7,6.89,0.54,31.6
1524,4,18.5,8.86,0.57,30.8
667,3,10.9,6.24,0.59,65.5
1431,4,15.1,8.86,0.72,37.5
1994,2,7.3,7.93,0.6,43.4
2526,4,18.9,10.65,0.72,14.2
3005,2,12.9,10.23,0.7,28.3
2795,5,17.5,11.04,0.68,18.5
1124,0,8.1,4.45,0.6,84.2
2591,4,9.9,6.53,0.58,40.8
2073,2,12.4,6.07,0.56,55.2
1341,2,8.1,6.49,1.0,69.7
1651,2,9.1,7.13,0.65,52.7
1303,5,16.5,8.32,0.43,31.9
1825,2,20.5,9.19,0.56,46.9
1289,1,10.3,6.69,0.63,60.2
1080,0,7.2,8.1,0.82,77.8
2135,2,15.7,7.95,0.69,49.4
2240,2,7.9,6.04,0.83,61.6
1668,1,11.2,6.22,0.81,72.1
2757,2,19.4,11.05,0.88,31.4
1617,2,12.5,4.62,0.56,63.3
1588,3,17.7,7.29,0.5,48.9
2262,0,6.9,6.72,0.82,64.7
1707,5,11.9,9.59,0.83,42.1
1859,0,8.6,6.52,0.86,67.4
500,5,13.4,8.34,0.6,42.8
1811,1,9.0,7.02,0.71,63.8
520,2,6.9,6.41,0.41,67.3
945,2,8.0,7.52,0.75,70.1
865,2,8.5,8.13,0.47,52.4
1070,2,14.1,6.42,1.0,70.2
1415,1,12.4,8.59,0.89,61.0
1459,3,9.9,6.48,0.94,65.0
2264,3,4.7,9.83,0.57,35.9
1955,1,11.0,8.27,0.57,54.5
500,2,7.7,5.25,0.85,88.4
1858,3,10.2,7.54,0.76,54.0
2022,1,4.1,8.85,0.83,61.4
